Epoch,cutmix,cutout,base,mixup
1,0.632,0.6121,0.6457,0.6749
2,0.7725,0.6825,0.7382,0.7596
3,0.7655,0.7766,0.7867,0.7718
4,0.788,0.7329,0.791,0.8041
5,0.7708,0.7732,0.8037,0.7604
6,0.7711,0.8056,0.7943,0.7659
7,0.7826,0.8084,0.8218,0.7995
8,0.8106,0.8166,0.8166,0.7978
9,0.8043,0.8172,0.8201,0.8312
10,0.7997,0.783,0.8188,0.824
11,0.813,0.8217,0.8327,0.8109
12,0.8266,0.8363,0.8433,0.8344
13,0.8076,0.8266,0.8352,0.8243
14,0.8133,0.8409,0.8247,0.8382
15,0.8021,0.8508,0.8352,0.8309
16,0.8214,0.837,0.8202,0.8382
17,0.8396,0.8262,0.8374,0.85
18,0.8519,0.8353,0.8327,0.8431
19,0.8591,0.8362,0.8365,0.8305
20,0.8579,0.8354,0.8324,0.8463
21,0.8587,0.8147,0.8385,0.8446
22,0.8593,0.8434,0.844,0.847
23,0.8595,0.8353,0.832,0.8406
24,0.86,0.8399,0.8358,0.8339
25,0.8607,0.8415,0.8382,0.8423
26,0.8596,0.8498,0.8362,0.8425
27,0.8599,0.8481,0.8237,0.8214
28,0.8598,0.8349,0.8417,0.8485
29,0.8603,0.8432,0.8333,0.8404
30,0.8595,0.8190 ,0.8285,0.8429
